Movie_Name,Description,Director,Rating,Runtime,Year of Release,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,History,Horror,Mystery,Romance,Sci-Fi,Thriller,War,Budget,Collection,Nominated
300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C. (117 mins.), Zack Snyder,7.7,117,2006,1,1,0,0,1,1,0,0,0,1,0,1,1,0,60000000,454161935,N
1408,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror. (104 mins.)", Mikael Håfström,6.8,104,2007,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22500000,131263370,N
2046,"The women who enter a science fiction authors life, over the course of a few years, after the author loses the woman he considers his one true love. (129 mins.)", Kar Wai Wong,7.5,129,2004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12000000,19287485,N
10 Cloverfield Lane,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack. (104 mins.)", Dan Trachtenberg,7.2,104,2016,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5000000,108286422,N
12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. (134 mins.)", Steve McQueen,8.1,134,2013,0,1,1,1,0,0,1,0,0,0,0,0,1,0,20000000,181025343,Y
127 Hours,"An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive. (94 mins.)", Danny Boyle,7.6,94,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18000000,60217171,Y
21 Grams,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con. (124 mins.)", Alejandro González Iñárritu,7.7,124,2003,0,0,0,1,0,1,0,0,0,0,1,0,0,0,20000000,59667625,N
25th Hour,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term. (135 mins.)", Spike Lee,7.7,135,2002,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4500000,25344490,N
310 to Yuma,A small time rancher agrees to hold a captured outlaw whos awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher. (122 mins.), James Mangold,7.7,122,2007,0,1,1,1,0,0,1,0,0,0,0,0,0,0,48000000,71171825,N
50/50,Inspired by a true story a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease. (100 mins.), Jonathan Levine,7.7,100,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8000000,41334735,N
8 Mile,"A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem. (110 mins.)", Curtis Hanson,7,110,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41000000,245768384,N
A Better Life,A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while trying to give his son the opportunities he never had. (98 mins.), Chris Weitz,7.2,98,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10000000,1884251,N
A Dangerous Method,A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis. (99 mins.), David Cronenberg,6.5,99,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20000000,14807531,N
A Hijacking,The crew of a Danish cargo ship is hijacked by Somali pirates who proceed to engage in escalating negotiations with authorities in Copenhagen. (103 mins.), Tobias Lindholm,7.2,103,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28000000,22000000,N
A History of Violence,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core. (96 mins.)", David Cronenberg,7.5,96,2005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32000000,61477797,N
A Monster Calls,A boy seeks the help of a tree monster to cope with his single mothers terminal illness. (108 mins.), J.A. Bayona,7.5,108,2016,0,0,0,1,0,1,0,0,0,0,1,0,0,0,43000000,46422652,N
A Most Violent Year,"In New York City 1981, an ambitious immigrant fights to protect his business and family during the most dangerous year in the citys history. (125 mins.)", J.C. Chandor,7,125,2014,0,0,0,0,0,1,0,0,0,1,1,0,0,0,20000000,6071433,N
A Most Wanted Man,"A Chechen Muslim illegally immigrates to Hamburg, where he gets caught in the international war on terror. (122 mins.)", Anton Corbijn,6.8,122,2014,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15000000,36068890,N
A Prophet,A young Arab man is sent to a French prison. (155 mins.), Jacques Audiard,7.9,155,2009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13000000,17900000,N
A Scanner Darkly,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result. (100 mins.), Richard Linklater,7.1,100,2006,0,0,0,0,0,0,0,0,0,1,0,1,0,0,20000000,7405084,N
A Separation,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimers disease. (123 mins.), Asghar Farhadi,8.4,123,2011,0,1,0,1,0,1,0,0,0,0,0,0,0,0,500000,24400000,N
A Serious Man,"Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking. (106 mins.)"," Ethan Coen, Joel Coen",7,106,2009,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7000000,30360570,Y
A Simple Life,"After suffering a stroke, an altruistic maid announces that she wants to quit her job and move into an old peoples home. (118 mins.)", Ann Hui,7.6,118,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30000000,5400000,N
A Single Man,"An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles. (99 mins.)", Tom Ford,7.6,99,2009,0,0,0,0,1,1,0,1,0,0,0,0,0,0,7000000,28142379,N
A Tale of Two Sisters,A family is haunted by the tragedies of deaths within the family. (115 mins.), Kim Jee-woon,7.2,115,2003,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3700000,1000000,N
A Very Long Engagement,"Tells the story of a young womans relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One. (133 mins.)", Jean-Pierre Jeunet,7.7,133,2004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51200000,76600000,N
About Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers. (119 mins.), Asghar Farhadi,8.1,119,2009,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1350000,7000000,N
About Schmidt,"A man upon retirement, embarks on a journey to his estranged daughters wedding, only to discover more about himself and life than he ever expected. (125 mins.)", Alexander Payne,7.2,125,2002,0,1,0,0,0,1,0,1,0,0,0,0,0,0,30000000,107054484,N
Adaptation.,A lovelorn screenwriter becomes desperate as he tries and fails to adapt The Orchid Thief by Susan Orlean for the screen. (114 mins.), Spike Jonze,7.7,114,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19000000,33000000,N
Aftershock,The epic story of a family separated as a result of the Great Tangshan Earthquake of 1976. (135 mins.), Xiaogang Feng,7.6,135,2010,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2000000,58000,N
Aint Them Bodies Saints,The tale of an outlaw who escapes from prison and sets out across the Texas hills to reunite with his wife and the daughter he has never met. (96 mins.), David Lowery,6.4,96,2013,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5000000,1075009,N
Akeelah and the Bee,A young girl from South Los Angeles tries to make it to the National Spelling Bee. (112 mins.), Doug Atchison,7.5,112,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8000000,18959424,N
All Is Lost,"After a collision with a shipping container at sea, a resourceful sailor finds himself, despite all efforts to the contrary, staring his mortality in the face. (106 mins.)", J.C. Chandor,6.9,106,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8500000,10386814,N
All or Nothing,"In a poor working class London home Pennys love for her partner, taxi-driver Phil, has run dry, but when an unexpected tragedy occurs, they and their local community are brought together, and they rediscover their love. (128 mins.)", Mike Leigh,7.6,128,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9000000,184255,N
Almost Famous,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour. (122 mins.), Cameron Crowe,7.9,122,2000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,60000000,47371191,N
